rating,content
5,"SK매직 제품은 가성비가 좋은 제품이라는 이미지가 있어 유일한 도어패널형 제품인 이 제품을 선택했구요 가격도 유명 식세기의 1/4 ~ 1/2 수준이라 단번에 결정했습니다. <br><br>저의 제품 선택 원칙은 1. 가성비 2. 사용편이성 3. 건조 였는데요, 본 제품은 건조 기능이 이렇게 좋은지 모른 상태로 설치하고 사용하면서 건조 기능에 더욱 흡족한 경우입니다.<br><br>새 아파트이지만 인테리어를 다시 하면서 도어패널형이 필요했고, 공식처럼 추천되지만 제 기준 지나치게 비싼 밀&times; 제품은 아예 고려하지 않았는데요. 하지만 인테리어 참고 삼아 본 집들에서는 거의 도어패널형 빌트인으로 밀&times;를 선택하길래 잠시 고민한 적도 있었습니다 <br><br>두 달여 사용하면서 제 선택이 틀리지 않았음 - 모든 가전은 사용법을 잘 숙지하면 기능상 큰 차이가 없다는 소신-을 확인할 수 있었습니다.<br><br>본 제품이 같은 회사 타제품과도 가격차이가 나는 건 자동 열림 기능 때문이라고 보는데요, 저는 완료 후 바로 열지 않고 한 동안 그대로 둬 잔열로 건조를 완벽히 하는 것이 제 성향에는 더 맞습니다. 바짝 마른 따끈한 그릇들을 정리할 때 <em>식세기 하길 정말 잘했다 </em>생각이 들죠. <br><br>저는 사실 애벌을 좀 열심히 하는 편인데요, 밥풀이 진득하게 묻어 있거나 기름기가 심한 <em>상태로 식세기 넣는 것을 좋아하지 않습니다</em>. 이럴러면 식세기 왜 샀냐 싶겠지만 나중에 거름망 청소하는 게 더 싫어요^^; 충분히 불리고 찌꺼기가 될 만한 것들은 많이 탈락시킨 후 식세기에 넣기 때문에 아직까지 거름망 청소, 식세기청소를 따로 해 본 적이 없어요. 애벌도 5분이면 충분하기에 그릇을 많이 사용하거나 설거지거리가 많이 나온 날엔 역시 식세기가 구세주입니다.<br><br>사용 후 문을 열어 충분히 환기시키는 습관도 있어 음식물 냄새 물<em>비린내도 거의 없습니다</em>. <br><br>설거지 양이 많을 땐 프로쉬를 쓰고요, 양이 적을 땐 sk매직에서 준 가루 세제와 린스를 적당량 넣어 사용해요. <br><br>결론은 매우 합리적인 가격에 구입해 인테리어와도 맞아 떨어지면서 성능도 결코 떨어지지 않는 <em>본 제품 아주 만족합니다</em>."
5,기존lg제품쓰다가 부품단종으로 동일제품찾으니 제품도 단종이라 사이즈랑 기존 싱크대문짝 그대로 쓸수있는 제품을 찾다가 sk매직제품을 빌트인으로 구입했어요 <br>외관은 바뀐게없을 정도로  그대로라 넘 <em>만족스러워요</em> <br>요즘나오는 신형은 메탈이라 넘 튀고 <em>인테리어적느로도 거슬리는 느낌이라 별로네요</em><br>식기세척기는 개인적으로 3번째데 브랜드마다 세정력은 비슷한데 안에 그릇이랑 수저꽂이같은 수납은 취향을 타네요 <br>은근히 매직이 <em>수납이 더  많이 되구요</em> <em>반면 수저통은 좀 작네요</em><br>결론은 이사해도 두고갈수있는 <em>부담없는 가격에 교체가는해 넘 좋아요</em>
5,식기세척기살까말까 엄청 고민하다가 구매하게 되었는데 <br>내가 아니더라도 대신해줄 누군가?가 있다는게 큰 위로가되고<br>같이 서비스로 받은 세제로 하니 더 깨끗하게 되는것 같아요<br>정말 잘한 선택!!<br>요즘 대부분 세척기 전체가 보이는 모델뿐이라서 어렵게 선택한 모델
5,원래 집에서 사용하던거라 구매했어요. 부모님이 사용하실건데 요즘 나오는 터치 어렵다고해서 버튼으로 했는데 잘 한것같아요. 리모델링해서 식세기 산건데 빌트인을 사야하는지 도어는 어떻게 하는지 진짜 친절하게 설명해주셔서 주문할때 착오없이했고 덕분에 리모델링 도어 밑에 하부장이랑 잘 맞춰서 살수있었어요!<br><br>기사아저씨께서도 잘 설치해주시고 설명도 엄청 친절하게 해주셨어요<br>기본 표준 사용하는데 다른 비싼 기능 많은것아니여도 너무 좋아요!<br>도어 설치는 1만원 미리 해주셨어요!<br>2단인데 공간도 넓고 좋아요!
5,엄마선물로 드렸는데 옵션선택을 안해서 뒤늦게 <br>도어패널을 선택안해서 당황하긴했지만<br>고객센터에서 너무 친절하게 잘도와주셔서 패널까지 이쁘게 설치했어요. 사진보시고 패널 꼭 추가하시라고 남겨둡니다. 꼭 패널선택하세요. 식세기는 정말 잘닦여서 만족스러워요.
5,배송 빠르고 설치기사님도 친절하시고 40분만에 뚝딱~설치해주시고 가셨어요~^^ 고민 많이 하다가 선택한 식기세척기 잘했단 생각이 100% <br>바로 사용해보았는데~그릇 뽀송뽀송~반짝반짝~^^ 세재도 선물로 주셔서~감사했어요~^^<br>저희 집은 가스레인지 아래 설치했어요~설치할때 싱크대 분리작업으로 5만원 지불했어요~<br>다른 곳 알아보니 10만원이라했었는데~착한가격으로 서비스받아 좋아요~~~
5,"설치기사님이 잘 설치해주시고, 나머지 도어랑 걸레받이, 윗부분빈공간 메꾸는것은 인테리어하는곳에서 마무리해주셨어요.<br>저는 부엌에 일반장을 한게 아니라 요즘 유행하는 상판 얇은장을 했더니, 이 식기세척기와는 높이가 맞지 않았어요. 그래서 윗부분에 공간에 생기게 되었고, 인테리어에서 잘 마무리해주셨지만,, 상판 얇은 부엌장이신 분들은 잘 알아보고 주문하세요."
5,가성비 최고의 식기세척기라 생각합니다. 완료후 자동으로 문이 열리지는않지만 큰 <em>불편함은없네요</em>. 진작 왜사지않았나 후회막심입니다ㅎㅎ 진짜 생활이 달라졌어요. 여유가생겼습니다 ㅎㅎ 기본표준으로 거의돌리는데 완료후 음악소리가나오면 문을 살짝 열어둡니다. 그러면 남은 습기가 다빠져나가고 금방 뽀송해지더군요. 4인가족기준 하루 1번 또는 2번 사용합니다. 진짜 부엌생활이 즐거워졌어요. <em>세척기능도 생각보다 더좋아서 </em>진짜 불려야하는것 아니고서는 깨끗히 세척됩니다. 눌러붙은밥알이나 굳은 것들은 물에좀 담가뒀다가 식세기에 넣으면 완전 깨끗해지구요. 이것은 신세계입니다. 전 개인적으로 건조기보다 더좋네요ㅎㅎ
5,기존  제품 제거하고 교환설치했는데 만족 만족 대만족이어요.  기사님도 친절하시구 전에 사용하면서 씽크대장이 부실했는데 그것까지 봐주시고 암튼 좋으네요<br>전모델보다  더 견고하고 기능도 보완된 점이 있어  선택한걸  칭찬했어요^^
5,80년대 후반에도 잘사는집 가보면 이런 식기세척기가 벌써 있긴했죠. 그런데 2019년도인 지금도 보급율이 낮은건 생활수준이 낮아서가 아니라 물로 씻다는것에 대한 신뢰가 부족하다는데 있겠죠?<br><br>저희집도 비슷한 이유로 고려하지 않다가 최근 건조기를 사보니 나름 새로운 문물(?)을 사서 편하게 사는것도 좋겠다 싶어서 그 다음 타자로 식기 세척기를 구입했습니다 ㅋ<br><br>설치한지 며칠안되 롱텀사용기는 아니고 몇번 사용해본게 전부지만 지금으로썬 50만원 초반대에 이정도 크기와 성능이면 만족스럽다는 생각이 듭니다.<br><br>물론 퐁퐁 팍팍 불어다 뽀드득 소리나게 손으로 닦는거보단<br>좀 못할순 있겠죠. 그런데 식기세척기로 설거지해서 나온것<br>만으로도 충분히 쓸만한 수준은 되고요.<br><br>고온으로 살균까지 해주니 오히려 더 낫다고 봅니다.<br><br>다만 기름기가 많은 접시는 살짝 세제를 풀어서 한번 정도<br>닦고 넣어야 할거 같아요.<br><br>세제보니 환경도 생각한 제품이던데 그걸 고려하면<br>괜춘한 성능같아요. 세척력과 환경성이 같이 올라가긴<br>쉽지 않으니까요 그리고 린스 일체형이라 편하고요.<br><br>살짝 초벌만 하고 쌓아두면 설거지가 되니 제가 이집<br>이사오고 8년만에 처음으로 나서서 설거지를 해보았습니다 ㅋㅋ<br><br>진동은 모르겠고 소음은 약간 날때도 있는데 거슬리진 않고<br>설마 이정도 소음도 없이 작동하면 그게 차라리 더<br>문제겠다 싶은정도 입니다<br><br>최소한 물줄기가 날아가서 접시를 타격해야 설거지를<br>할꺼 아니겠어요? ㅎㅎ<br><br>인터넷에서 미리 알아본그대로 저도 느꼈습니다.<br>식기세척긴데 초벌설거지하면 그게 그거 아니냐..<br>(절대 아님 초벌 정도로 끝난다고 생각하면 신남)<br><br>기름기 많은 접시는 퐁퐁 조금 풀어서 제압을 하고<br>넣어야 한다<br>(그냥 넣으면 기름기가 100% 제거 되진 않더라고요)<br><br>그럼 잘쓰겠습니다!
