rating,content
5,주문하고 사전방문하고 제품배송까지 일주일도안걸린거같네요..빠른배송에<em>만족했고요</em>. 제품받자마자 테스트하려고쌓아놓은설겆이를해봤는데 <em>세척은 정말잘되네요</em>...제가 손설겆이할때 박박문지르고 틈새까지하는편이라...그정도까지는아니지만 뽀드득거리고좋아요..배달짬뽕그릇을 혹시나하고돌려봤는데 아주말끔히<em>세척이되서</em>나와버려서...다시써야할정도더군요...이정도면 설겆이걱정없이 맡길수있을정도고요...다만 처음부터자동으로열리는기능이안되서 삼성서비스신청했는데....빠른시간안에 처리해주셔서...<em>그나마다행이라생각되네요</em>..수평이안맞아서 문짝이기우뚱거려안열린거였다는데...좀더써봐야할거같고요...자동문열림기능이좋긴한데...조금더열렸음하는바램이있네요....자동문열림기능이안되다보니...<em>꿉꿉한냄새도나고</em> 그릇들은세척은잘되었지만 물자국이남더라고요...추후에 자동문열림기능이 고장나거나 수평이틀어지면...이부분은 문제가될듯싶네여...그리고 저희집주방이 많이협소한데 크기가 딱! 알맞게나와서 빌트인은아니고 스텐딩으로해놨는데...<em>맞춤인것처럼 보기도좋고요</em> <em>작동소음도 그리 큰편은아닌것같아요</em>...타사6인용보다...조용한것같고요...돌려놓고 다른일하거나 잠을자도...거슬릴정도는아니더군요...<em>저렴한가격에 좋은제품구매하게되어 너무만족스럽네요</em>...고장없이 오래썼음하는바램입니다...
5,구매전에 엄청 고민했어요..<em>돈을 좀 들이더라도 더 크고</em> 비싼걸 살것인가.. 그리고 세척은 잘될지..애벌 물헹굼은 그래도 해야하는데 소요되는 시간은 거기서 거기가 아닐까 했는데 <em>사길 잘한것 같네요</em>..저희는 초딩 둘이 있어서 자잘한 간식 식기류도 많이 나와서 자주 하게되니 너무 커도 부담일것 같고 세척은 제가 뜨거운물로 뽀득뽀득 씻어야 하는 성격인데 고온세척으로 마무리설정 하고 나면 윤이 날정도로 깨끗하네요..주위에서  세척후 자동열림 기능 있는걸로 꼭 사야한다고 하는데 이 기능도 있어서 자동 환기되니 <em>가성비도 괜찮은것 같아요</em>~ 설치는 주방싱크대 서랍쪽 한면이 딱 들어맞는 크기여서 설치하루전 추가금없이 미리 들어갈 자리 작업 다 해주셨구요 담날 바로 설치로 구매후 몇일만에 친절하게 안내 및 빠른설치해주셨습니다. <em>신랑이랑 퇴근후  저녁식사후 설겆이 시간을 벌어서 둘다 만족입니다</em>.
5,"싱크대 하부장 하나 빼고, 하난 폭을 3cm 줄여서 시공했어요 비규격장이라 9만원 들었어요 하루는 싱크대 시공하고, 하루는 식기세척기 설치했어요 출시되었을 때부터 눈여겨보던 제품이라 넘 좋아요 싱크대 건드리는게 망설여져서 고민하다가 구입했는데 진작 살걸 그랬어요 식기세척기 돌리고 외출하고 돌아오면 식기가 말끔히 세척되어 있어서 좋으네요 세제는 급하게 마트에서 가루타입으로 구입했는데 블럭타입이 편할거 같아요 식기세척기는 싱크볼 바로 옆에 있어야 선세척해서 바로바로 넣기가 편하네요 매장에서 2020년 출시된 모델 보고 왔는데 버튼이 숨어있는거 빼곤 성능은 다른게 없어서 이걸로 구매했어요"
5,한달 사용 후 가장 많이 들어본 질문 위주로 후기를 적어볼게요. <br>우선 소음 전혀 크지 않아요. 솔직히 tv 틀어놓고 있거나 창문 열어두고 있을때는 작동하는 줄도 모를 정도로 조용한 편입니다. <br>식기가 세척되는 단계별 모드에 따라 물이 세게 나오면 물소리가 들리는 경우는 있지만 거슬릴 정도는 전혀 아니더군요. <br>두번째는 12인용에 비해서 작지 않느냐? 이건 개인차가 있을 것 같아요. 우선 우리집은 세식구이고 보통 저녁 한끼를 모여 먹고 점심 식사에서 나오는 설거지는 아이 어린이집 식판 정도라서 2틀을 모아야 식기세척기 돌릴만한 양이 나올때도 종종 있어요. 때문에 식기세척기가 더 컸으면 좋겠다는 생각은 아직 안듭니다. 하지만 식구가 많은 집이나 <em>한 끼 식사에도 그릇 잔뜩 꺼내서 드시는 분들은 부족하다</em> 느낄수도 있을테니 이 부분은 매장에서 직접 실물을 보시고 12인용과 비교해서 판단하는 게 좋을 것 같아요. <br>이 모델의 가장 큰 장점은 슬림한 디자인인 것 같아요. 빌트인으로 설치했을때 싱크대 공간을 많이 차지하지 않아서 <em>수납공간이 많이 줄어들지 않는 점이 가장 마음에 듭니다</em>. <em>기능은 부족하다 느낀 적 없어요</em>. 만약 세척이 잘 안된다고 느낀다면 세척 코스를 강력으로 하면 문제 없을거에요. 전 주로 소량을 세척하는 일이 많아서 급속으로 설정하는데도 설거지 잘만 되더라고요. <br>암튼 처음 설치했을때보다 더 한달 <em>사용후 만족도가 높아요</em>. <br>예전엔 저녁식사하면 남편이랑 아이는 티비보고 나만 설거지하고 이런저런 주방일하느라 30분에서 길게는 한시간이 걸렸는데 지금은 물로만 휙 헹구고 그냥 식기세척기 넣어서 돌려버리니까 3분도 안걸리네요. ㅋㅋㅋ 솔직히 한번 사용해보면 이제 식기세척기 없는 세상은 못 살 것 같아요. 주부님들 고생하지 마시고 다들 식기세척기 꼭 사세요. 이건 건조기 신세계와 동급이에요.
5,저녁에 퇴근후 어린아이들 씻기고 재우기 바쁜데 설거지까지 하려니 매번 힘들었는데 주위의 엄마들이 추천해서 맘먹고 구매했는데...건조기에 이어 또다른 신세계네요..<br><br>싸이즈도 씽크대 하나 들어내고 그자리에 쏙 넣으니 추가비용발생도 안하고 딱이구요..<br><br>다만..4인이상 대가족들은 큰싸이즈하셔야 한판에 끝날듯요
5,"한끼식사후 돌리기 딱 좋읍니다. 너무너무 좋아요. 11절에 싸게 사기도 했는데 설치전 공사는 좀 황당했읍니다.  배보다 배꼽이 더큰 형국이었고 공사중 미세한 가루가 날릴걸 대비해서 씽크대위를 덮었는데 양념통위에 그리 많은 먼지들이, 것도 몸에 엄청 않좋을 가루들이 수북히 쌓여있는걸 보고 기절하는줄 알았어요. 말씀이라도 해주셨으면 뭐라도 덮어놨을텐데 닦아내느라 종일!  이건 세척기 판매자와는 무관한것도 같지만   고객의 입장에서는 통으로 삼성세척기로 생각되어지는 부분이니 좀 개선되어지면 좋겠읍니다"
5,"식기세척기를 구매 하려다 몇번 포기 했는데..<br>6인용은 아무래도 좀 작고 12인용은 싱크대 하부장사이즈보다 크고 <em>가격도 비싸고</em>.. 해서 SK 8인용 알아보았는데 문열림 기능도 없고 디자인도 4-5년전 물건 같아서 포기했었죠.<br>그러던 찰라에 문열림 기능도 있고 8인용 사이즈가 50만원대에 새로 나왔다고 해서 큰맘먹고 구입했네요.<br>1.싱크대 하부장 공사를 했고 싱크대 끝쪽 판넬이라 힘들것 같다고 했으나... 어쨌튼 잘 마무리 해주심.. (비용은 18만원인가 들었어요..ㅜㅠ)<br>2.식기세척기 설치<br>설치는 잘 해주셨으나.. 콜센터에 전달 했던 이야기 또 해야 하는 상황과.. 아침에 전화 주신다더니 11시 넘어도 연락 없길래 직접 전화 했더니만... 엉뚱한 말을 좀 늘어놓음... 살짝 짜증 났으나...... 그래도 설치가 잘 마무리 되어서 잊기로...<br><em>3.디자인 이쁩니다</em>. 저희집이 글로시한 하얀색 싱크대라 스틸 디자인이 어울릴까 살짝 걱정했는데 설치하고 나니 잘 어울리네요. 2층으로 된 구조로 그릇은 많이 들어 갑니다. 직접 써보진 못했지만 식기세척기 6인용을 가전 매장 가서 여러번 열어본 본 경험으로는 거의 두배 가까이 들어가지 않을까 생각 됩니다. 내부 구조&<em>마감도 만족</em>;;<br>4.식기세척기 사용기들을 읽어보다가 보니 세제를 좋은거(?) 써야 <em>만족도가 높다 해서</em> 나름 비싼거(케***드 플래티넘) 사서 돌려 봤는데 뽀득 뽀득 좋습니다.<br>5.문열림 기능은 한 5cm 정도 열리는거 같은데.. 이거 준 필수 기능이 아닌가 싶습니다. <em>마음이 편합니다</em>. 밤에 자기전에 돌려두어도 되고.. ^^;<br>소음은 클까봐 걱정 했는데.. 외부에서 느껴지는 <em>소리는 크지 않네요</em>. <br>6인용 식기세척기도 40만원 가까이 하고 12인용은 거의 100만원 훌적 넘기는 상황이라 가격, 디자인, <em>성능 모든 면에서 만족 스럽습니다</em>. (설치하신분만 빼고요 ㅋ)"
5,"식세기를 사야겠다고 생각한 뒤 여러 제품을 놓고 고민하다가, 슬림형이기도 하고, 삼성 브랜드에 대한 신뢰도 있고 하여 이것으로 구매하였습니다. 특히나 인터파크에서 여러가지 할인 및 쿠폰이 제공되어 다른 곳보다 더 싸게 살 수 있었구요. 주문하고 이틀 뒤싱크대 기사님 오셨고, 그 다음 날 식기세척기 설치기사님 오셨구요. 저희 집 구조 상 여러가지 변수(설치 불가 판정 > 위치 변경 > 싱크대 탈거 및 틀 짜넣음 > 식세기 기사님 방문 > 수도가 오래되어 설치 불가 ...) 로 인해, 결국 수전까지 교체했던 터라, 총 4-5일 정도 소요된 듯 합니다. 너무 변수가 많이 발생되어 중간에 설치를 포기할까 까지 하다가 결국 설치했는데, 너무너무 만족하며 쓰고 있습니다. 왜 이제야 설치했을까 하는 후회를 참 많이 하게 되더라구요. 깨끗하게 씻기고, 대단히 조용하구요. 8인용이지만 많이 들어가구요. 왜 사람들이 식세기 식세기 하는지를 정말 크게 깨닫고 있습니다. 여러가지 변수 덕분에 어쩔 수 없이 교체한 수전, 그리고 인덕션까지... 판이 예상외로 커졌지만, 그만큼 훨씬 더 만족하며, 편안하고 윤택한(?) 삶을 살게 된 것 같아요."
5,"ㅎㅇ마트에서 보고온 가격보다 10만원 이상 저렴했고, 무엇보다 우리같은20평대에 빌트인할수있는 세척기는 현재로는삼성꺼밖에없었습니다.<br>사전점검때 꼼꼼하게 살펴봐주시고 싱크대철거후 지지대설치까지알려주셔서, 동네 인테리어사무실에부탁해 철거 및 보수작업 완료후 바로 원하는 날짜에 오셔서 식기세척기설치해주셨습니다^^<br>구매후 싱크대철거작업으로 인해 몇번의 날짜변경과 시간변경이있었지만 <em>단한번도 짜증내지않으시고 </em>시간,<em>날짜 조율해주신부분들이 참고마웠습니다</em>...설치후세심한 사용설명까지, <em>기사님들  정말고맙습니다</em>^^  설치하고나니 너무 <em>예쁘고 만족스럽더라구요</em>, 그리고<em>생각보다내부가커서 맘에들었어요</em>^^  5살큰애가 이제엄마설겆이안하고 나랑놀아줄수있어? 와  하는데 참...^^; 진작에 살걸, <em>너무좋네요</em>^^b"
5,몇년을고민하고설치하고팟던식기세척기 애기포함세식구네요 두끼먹은거돌리기좋아요 12인용은너무크고 4인용은작고 정말이지 남편한테 설거지부탁안해도되고 로봇청소기이후로 최애템입니다 배송빠르고 설치기사님들너무친절하세요 기본설치비가뭘말하는지는모르겠지만 사진처럼하고 9만원 비용발생했네요ㅎㅎ강추입니다
5,11일에 주문후 오늘 23일에 설치 되었어요. 중간에 싱크대 작업했구요. 사정상 싱크대 코너장에 하느라 추가설치비 13만원 나왔네요. 처음엔 무료설치되는 싱크대를 들어내고 작업할려고 했는데 저희 싱크대가 좀 특이해서 깊이가 안나와 결국 설치가능한 곳이 코너 밖에 없더라구요. 유상 설치부분은 설명을 충분히 들어 납득이 되긴 하는데 13만원은 좀 비싸보여요.  근데 이거도 다른 싱크대 업자 부르려면 더 싸게는 못하는거더라구요. 암튼 예상외의 비용은 발생했지만 기사님들 친절하고 그래서 그러려니 생각합니다. 제품 자체는 그렇게 고급지거나 하진 않지만 <em>가격이 저렴하니 괜찮구</em>요. 흰색 할까 은색할까 고민했는데 기존 오븐 색깔 때문에 은색으로 했는데 깔맞춤이네요.  <em>싱크대 높이가 좀 낮아서</em> 안될줄 알았는데 식기세척기 상판을 떼내서 설치하시네요. 이런 방법이 있군요.  암튼 여태 식기세척기는 설치가 잘 안될거 같아 꺼렸는데  우여곡절 끝에 숙원사업 하나 해결했네요.
5,"수요일주문, 목요일 자리 확보, 금요일 설치!!<br>일사천리로 주문과 설치 완료!<br>1달째 사용중인데 <em>만족도 매우 좋습니다</em>. 소리 크다는 얘기 있었는데 전 그리 소음이라는 생각 안드네요. <br>그릇 잘 배분해야하는건 맞구요<br>잘못 겹치면 세척 안되기도 하지만 99%<em>맘에 듭니다</em>.<br><em>고온세척이라 것만으로도 만족</em>...이제 세척기 없이는 못살것 같아요."
5,처음엔 싱크대 재단하기 싫어서 6인용을 생각했는데요..오프라인에서 직접 보니 넘 작더라구요.이제는 8인용과 12인용이 남았는데요..몇 날을 고만했답니다. 결론은 삼성 슬림형 식기세척기로 결정!!12인용보다는 그릇 수납 제약이 있지만... 한끼마다 세척기 돌리니깐 정말 편하네요.아침먹고 애덜 등교시킬 때에 열일하는 식기세척기!!저녁먹고 운동 나갈 때에 열일하는 식기세척기!!삶의 질이 한 단계 업그레이드되었어요.그럼 삼성 슬림형 식기세척기는 어떨까요?우선 공간절약되구요.<em>가격깡패구요</em>.정말 조용해요.<em>마지막 세척도 잘 된답니다</em>.단점은요? <em>살균기능이 없는 게 아쉽네요</em>. 그건 머..<em>가격이 저렴하니 포기하죠 </em>ㅋㅋ그래도 살균기능을 포기할 수 있는 것은 자동문열림 기능 때문이랍니다. 식기세척기 돌리고 나갔다 왔을 때 완료후 자동으로 문이 열려서 물기가 사라지는 게 <em>마음에 들어요</em>.머스트해브 기능이라고 생각합니다.이제 1주일 지났는데요... <em>완전 만족하고 </em>있어요.앞으로 계속 만족할 거 같아요 ㅎㅎ
5,"둘이 살고 있어서 설거지는 많지 않지만 매일매일 한다는게 <em>시간이 아깝고</em> 힘들때가 있더라고요.전 서비스때문에 삼성껄로 보통 구매하는 편입니다. 개인적으로 <em>설치부터 AS까지 삼성이 젤 마음에 들어요</em>^^삼성 제품이고 <em>용량과 크기도 딱 마음에 들어서</em> 주문했습니다.주문하고 다음날, 전화로 설치전 기사분 방문 날짜 잡았습니다.기사분이 먼저 방문해서 설치가 가능한지 보고가시는데, <em>이게 정말 좋았습니다</em>.저는 가로, 세로만 확인해 봐서 빌트인이 되겠다 싶었는데, 깊이가 안나와서 패스~다른곳도 다 확인해 보시다가 빌트인은 어렵겠다 하셔서 스탠드로 하기로 결정했어요.다음날 출고 연락오고, 출고 연락온 다음날 설치 했습니다.삼성 서비스가 좋은 점이 늘 2인 1조로 움직이시는거 같아요.그래서 설치하면서 옆에서 정리를 동시에 해주시고,혼자 하는거보단 여유가 있어서 그런지 요청하면 바로바로 응해주셔서 좋았습니다~호수가 지나갈수 있게 싱크대 옆쪽에 아주~ 깔끔하게 구멍을 뚫었습니다.(구멍을 내고 나온 동그란 싱크대판은 나중에 막을때 사용해야하니 보관하라고 주시더라고요)기사분께서 친절하시게도 싱크대와 높이를 알아서 맞춰주셨어요. 사진엔 안보이지만 얇은 나무판을 대주셨습니다.@@@ 2주정도 사용후기를 적을께요! @@@마음도 몸도 너~~무~~ 편합니다~*^^*먼저, 식사를 하고 나서 '설거지 해야하는데..'라는 부담아닌 부담이 없어져요~그리고 매일매일 서서 20분 정도 설거지를 하지 않고 쉴 수 있는게 은근 몸에서도 차이가 느껴집니다.깨끗함은 당연하고요. 오히려 그릇의 컬러가 살아나는거 같아요.식기세척후에 자동으로 문이 열리는데, 아주 살짝 열립니다. 자연 건조가 될까 싶은데 <em>건조가 됩니다</em> @.@자동 열림이 안되는 세척기도 있던데, 저는 건조를 선호하는 편이라서 <em>자동 열림으로 건조 되는게 마음에 들었어요</em>.아쉬운 점은, 고온 살균 기능이 명시되어 있지 않다는거..고온 헹굼기능이 있는데 75도씨까지라서..80도씨 이상 올라가는 세척기도 나오는데 <em>아쉽더라고요</em>.살균은 자연 건조로 만족을 해야 겠어요.이젠 설거지 걱정땜에 식기를 아껴쓰거나... 피곤한 날에 설거지 보고 한숨안셔도 되서 너~무 좋네요!!설거지는 식기세척기가 한다는 말이 맞는 말 같아요^^ㅋㅋ"
5,둘째 낳고부터 식세기의 필요성을 절실히 느꼈는데요 12인용을 하자니 하부장 두칸을 떼어내고 리폼까지 해야해서 수납공간도 포기할수없고 <em>싱크대위에 올리는 6인용을 하자니 미관상 넘 답답해보이고</em>.. 찾아보던중 발견한 8인용!! 이거다 싶었죠~<em>빅스마일데이로 완전 저렴히 득템했구요</em>^^ 구매한담날 설치기사님 전화왔는데 간단히 필요한 사진 보내드리고 가능하다셔서 신랑이 직접 45센티 하부장 한칸 철거하고 연락드려서 담날인 오늘 설치완료 되었네요~ 기사님 두분이서 뚝딱 깔끔하게 설치 해주셨구요 미리 전용세제 구입해놓고 바로 돌려봤는데 생각보다 그릇도 꽤 들어가고 냄비도 들어가구요 세척은 뭐 말할것도없이 깨끗하구요 <em>소음도 거의 없네요</em> 넘나 신세계입니다!!원래부터 그자리에 있던것마냥 딱떨어지게 잘어울리구요 진작살걸 후회될정도에요
5,주방크기에 15인용은 안들어가져서 8인용으로 알아보니 딱 맞더군요ㅎ<br>설치전 가구리폼 하는곳에서 오셔서 친절하게 해주시고 한 1주일쯤 지나 세척기 설치했어요<br>매일 밥먹고 나면 설겆이 하기 바빳는데<br>이젠 모아놨다 한번에 해요ㅎㅎ<br>주문은 다른곳에서 했었는데 롯데가 더 저렴해서 같은 판매자라서 취솟하고 다시 주문해서 2주 반정도 걸린거 같네요<br>3인 가족은 8인용이 딱이네요<br>스팀이 없어서 좀 아쉽긴하지만 깨끗하게 잘되서 만족합니다
5,맞벌이에 애키우기에~ 맨날 쌓여있는 설거지 보면 한숨만 나왔는데신랑은 싱크대 공사는 싫다하지 <em>저는 위에 올리는 식기세척기는 답답해서 </em>싫었고 찾다찾다 저희집 싱크대 넓이랑 똑같은걸 찾아냈네요. 셀프로 뜯었구요. 제가 뜯었어요. 쉽더라구요. 설치도 미리 와주셔서 콘센트연결만 하면 되겠다고 해서 준비했구요. 애벌은 꼭 해서 넣고 아침에 아이데리고 나가기전에 아침밥먹은거 정리해서넣고 나가면 너무 좋더아고요 집에와서 밥만하면 되니까요. <em>처음엔 고무타는 냄새가 좀 났는데 </em>한 일주일 정도 돌리고 나니 냄새가 날라가더라고요. 보내주신 세제는 8등분해서 사용하는데도 충분해요. 그리고 저희집은 물이 안맞는가 흰 세제얼룩처럼 남길래구연산을 같이 넣어서 사용하니 뽀득뽀득 잘 닦이더라고요. 아래칸엔 밥솥이랑 후라이팬 윗칸엔 밥그릇이랑 컵 접시 놓고 사용중입니다. 3인가족 아침저녁으로 사용하기 딱 좋아요. 확실히 주말에 아이와 노는 시간이 늘었어요. 추천합니다.
5,"처음엔 12인용하려고 했는데 주방이 좁아서 8인용했습니다. 오프라인으로 직접 봤는데 그렇게 작지 않더라구요. 저희집은 폭 600cm 나오는 장이 오븐장이랑 밥통 들어있는 긴장밖에 없어서 리폼 비용도 무시할수 없었어요. 셀프로 장 들어내고 찬넬, 걸레받이 잘랐고요.. 오늘 설치했는데 <em>기대 이상으로 깔끔하게 잘 설치해 주셨어요</em>. L사 가전 살때보다 훨씨 친절한 물류 기사님.. 아침부터 기분이 업 됐네요. 싱크볼 옆에 600짜리 규격장 없으면 이 제품이 답인것 같아요. <em>강추합니다</em>^^<br>1회 소비전력은 0.92k정도 되요. 한달 30회 사용시 27.6k가 기존 사용량보다 추가 될꺼 같네요."
5,<em>만족합니다</em>. 4인가족이구요. 12인용이 너무 큰거커서 투머치인거 같아 8인용으로 구매했습니다. 하루 한번씩만 돌려도 충분하군요. 세척력도 이정도면 <em>만족스럽구요</em>. 소음 처음 돌아갈때 쬠 있는데 신경안쓰입니다. 아스콘냄새는 처음 돌렸을 때는 있었구요. 몇번 돌리니 내 코가 적응을 하는건지 <em>냄새가 빠지는건지 괜찮아</em>졌습니다. 설치는 프리스탠딩으로 했습니다. 싱크대 수납공간 까먹기 싫었거든요. 사진으로 보이는거처럼 냉장고 싱크대사이 안쪽으로 설치했더니 <em>외관상으로도 괜찮습니다</em>. 주방 넓어진 느낌도 쬠 나네요. 설치시 기사님 친절하셨고 뚝딱뚝딱 해치우시더군요. 추천 할만한 제품입니다.
5,슬림식기세척기를 구매하려고 알아보다가 타제품에서는 자동문열림기능이 없어서 구매포기하던차에 삼성에서 자동문열림 기능이 있는 제품이 출시됐다는걸 알고 바로 구매했어요. 10월 28일 월요일에 구매해서 다음날인 화요일에 사전점검 받고 금요일에 싱크대 작업하고 토요일에 세척기 넣었네요. 6일날에 일사천리로 진행됐어요. 빨리 <em>진행돼서 넘 좋았네요</em>. 저희 싱크대는 비규격 500mm장이라 삼성에서 소개해준 아비스에서 싱크대 작업했구요. 직장인이라 아침마다 설겆이 하고 출근하려면 넘 부담스러웠는데 오늘 아침 처음 식세기 돌리고 여유있게 출근했네요. <em>일단 제품 디자인 타 제품보다 훨씬 세련되서 맘에 들어</em>요. 가로 <em>45센티인 사이즈도 정말 굿입니다</em>~ 성능은 퇴근후 집에가서 확인해보면 알겠지만 좋을거라 기대하고 있습니다^^ 직장맘에게나 육아맘에겐 필수가 아닐까 싶네요. 제품 많이 파시구요~ <em>사업번창 하세요</em>~
5,식기세척기<br>구매전- 매일 설거지 때마다..식구들엑 화냄<br>         - 식구들에 돌아가면 해줘도.. 맘에 안듦<br>         - 청소 하루에 한번 끝/<br>         - 빨래.. 일주일에 두 세번 끝/<br>         - 설거지... 끝이 없음....ㅠㅠㅠ<br>구매 중 - 사실 작년부터 고민하다가. <br>           - 주위에 구매후 사용중이신분의 신세계라는 말을 듣<br>             고   구매.. 설치하러 오시기 전까지 계속 고민..특히<br>              세제가 너무 비싸서... 고민하다가.. 우선.. 싱크대 기사님 오시면 결정하자. 맘먹음<br>싱크대......ㅠㅠ 규격이 아니고.. 싱크대가 뒤쪽보다 앞쪽이 쫍아  나오지 않아서.. 결국 있는 상태에서.. 이리 저리 총 4시간 작업 하심... 작업 시간동안  수많은 고민을 함... 이걸 해야되나... 말아야 되나.. 그래 반품하자.. 하는순간.. 싱크대가 잘렸음.. 그땐 반품 할수 없음.... 아님 싱크대를 새로 해야함..<br>결국 이렇게 이쁘게.. 달아주고.. 싱크대 내려앉지 말라고.. 상판이랑 하부장 사이에 판도 덧대 주시고.. 고생 넘 하시고... 감사했음니다.<br>설치후----- 제가 이렇게 길게 후기를 적은 이유는... 너무 좋아서 입니다.  설거지 걱정 때문에 늦게 공부하고 오는 애들 간식도 맨날 사먹였는데.. 지금은... 딱 만들어 주고.. ㅎㅎㅎㅎ<br>자기 전에 딱 틀어 놓고 자면.. 아침에 깨끗 입니다. <br>너무 행복해요...
5,"<em>디자인 예쁘고 </em>8인용이라도 식구가 적어서,그 전에 사용하던 12인용과 큰 차이를 못느끼겠어요.<em>기능이나 디자인은 만족하는데 </em>윗칸의 바구니에는 작은 그릇 위주로 올라가는데 간격이 너무 커서 떨어지는 경우가 있어요.1.2층 수납의 간격이 좀 더 좁았으면 좋겠어요."
5,8인용 사이즈가 딱이네요!<br>건조기와 더불어 신세계를 경험한다는 식기세척기인데 정말로 신세계네요 ㅋㅋ3살 아기가 있어서 설거지를 할때면  아기가 옆에 자리잡고 앉아 모든 주방 서랍을 다열어 엉망이 되곤 했는데 세척기가 오고나니 너~~무 편하네요!!<br><em>소음도 거의 없는편이라 잘때 돌려놓고 </em>자고 아침에 정리하니 딱 좋아요~ 린스도 같이 넣어 사용하니 얼룩 하나 없이 깔끔하게 씻겨지네요.<br>아직까진 사용한지 얼마 되지 않아 너무 더러운건 1차로 씻어서 넣었고 기름기가 많이 있는 접시는 그냥 키친타올로 한번 닦아서 넣었는데 기름기 하나 없이 잘 씻겨져 나와요~ 그리고 간혹 냄새가 난다는 분들도 계시던데 저흰 <em>냄새가 전혀 안나요</em>~ <br>너무 큰 후라이팬이나 솥은 그냥 설거지하고 나머지 접시들은 식기세척기로 돌리니 <em>사이즈도 괜찮은거 같아요</em>~ <br>아기 젖병도 함께 넣어 돌려봤는데 잘 씻겨져 나왔고 건조는 소독기에 넣어서 했어요.<br>고민하시는 분들 당장 겟하세요~ 신세계입니다 ㅋㅋ
5,건조기 이후 또다른 신세계를 경험하고자 고민고민끝에 드뎌 설치 받았습니다. ㅎㅎ저희는 신랑이 직접 싱크해체 작업을 해서 식기세척기 설치 했어요~사전검사 삼성기사님은 너무 친절히 도움을 주셨고  싱크 작업후 설치당일은 애로사항이 있던부분까지 잘 해결해주셨습니다 ^^백화점 안녕마트 등 많이 알아보고 여기서 주문했는데 주문부터 설치까지 아무 문제 없이 착착 진행 잘되어서 느무느무 기뻤답니다.<em>가격도 물론 이정도에 만족합니다</em>  <em>판매매장 통화연결도 무리없이 연결잘 되서 </em>궁금한부분들 안내받을 수 있어서 여러가지로 스트레스 없이 다 잘 끝났네요 ~암무튼 저도 이제 애들한테 좀<em>더 시간을 갖을수 있게 되어서 너무 좋아요</em>!!아직 세제때문에 사용전이지만 건조대용으로도 사용하고 문딱닫아놓으면 완전깔끔^^ ㅎㅎ앞으로 상상이상의 하루하루를 기대해봅니다 ^^
